Name,SMILES,SYBA,Functional Group,Linker
g_18_v4_triple,COC1=CC2=C(C=C1OC)NC(/C#C/C3=CN=CC4=NSN=C34)=C2,53.33031800578284,triple,none
g_18_v4_imine,COC1=CC2=C(C=C1OC)NC(/C=N/C3=CN=CC4=NSN=C34)=C2,49.73068497333157,imine,none
g_18_v4_thio,COC1=CC2=C(C=C1OC)NC(C3=CC=C(C4=CN=CC5=NSN=C45)S3)=C2,45.07703926297204,thio,none
b_11_v1_double,CN1C=CC2=C1C=C(OC)C(OC)=C2/C=C/C3=C4C(C(N3C)=O)=CN(C4=O)C,-9.95277155625055,double,none
b_11_v1_triple,CN1C=CC2=C1C=C(OC)C(OC)=C2/C#C/C3=C4C(C(N3C)=O)=CN(C4=O)C,-3.5115156555940783,triple,none
b_11_v1_imine,CN1C=CC2=C1C=C(OC)C(OC)=C2/C=N/C3=C4C(C(N3C)=O)=CN(C4=O)C,-5.9476643682863255,imine,none
b_11_v1_thio,CN1C=CC2=C1C=C(OC)C(OC)=C2C3=CC=C(C4=C5C(C(N4C)=O)=CN(C5=O)C)S3,-17.378505404246468,thio,none
c_11_v1_double,O=C1C(C2=CN1C)=C(/C=C/C3=C(C(OC)=CC4=C3N(C=C4)C)OC)N(C2=O)C,-13.500656922921706,double,none
c_11_v1_triple,O=C1C(C2=CN1C)=C(/C#C/C3=C(C(OC)=CC4=C3N(C=C4)C)OC)N(C2=O)C,-6.00326901876112,triple,none
c_11_v1_imine,O=C1C(C2=CN1C)=C(/C=N/C3=C(C(OC)=CC4=C3N(C=C4)C)OC)N(C2=O)C,-10.447713960932562,imine,none
c_11_v1_thio,O=C1C(C2=CN1C)=C(C3=CC=C(C4=C(C(OC)=CC5=C4N(C=C5)C)OC)S3)N(C2=O)C,-21.21610206261961,thio,none
g_10_v2_double,COC1=CC2=C(C=C(/C=C/C3=C4C(C(N3)=O)=CNC4=O)N2)C=C1OC,-16.209454767915364,double,none
g_10_v2_triple,COC1=CC2=C(C=C(/C#C/C3=C4C(C(N3)=O)=CNC4=O)N2)C=C1OC,-2.994591794464144,triple,none
g_10_v2_imine,COC1=CC2=C(C=C(/C=N/C3=C4C(C(N3)=O)=CNC4=O)N2)C=C1OC,-8.794102434500644,imine,none
g_10_v2_thio,COC1=CC2=C(C=C(C3=CC=C(C4=C5C(C(N4)=O)=CNC5=O)S3)N2)C=C1OC,-6.632196198986337,thio,none
g_10_v1_double,COC1=C(/C=C/C2=C3C(C(N2)=O)=CNC3=O)C4=C(C=CN4)C=C1OC,-29.01861601196974,double,none
g_10_v1_triple,COC1=C(/C#C/C2=C3C(C(N2)=O)=CNC3=O)C4=C(C=CN4)C=C1OC,-17.01795455982976,triple,none
g_10_v1_imine,COC1=C(/C=N/C2=C3C(C(N2)=O)=CNC3=O)C4=C(C=CN4)C=C1OC,-21.70635848419958,imine,none
g_10_v1_thio,COC1=C(C2=CC=C(C3=C4C(C(N3)=O)=CNC4=O)S2)C5=C(C=CN5)C=C1OC,-33.687724897835054,thio,none
c_10_v1_double,O=C1C(C2=C(/C=C/C3=C(C(OC)=CC4=C3N(C=C4)C)OC)N1)=CNC2=O,-29.65934954325231,double,none
